"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"13398","Classical Monocytes","Plasmacytoid dendritic cells","GNAI2","ADCY7",0.0741863749278069,22368.7,0.00362432672531156,18508,0.604932114390939,18603,0.785015270352527,11225,0.89530875439065,37505,0,26002.5
"13399","Myelocytes","Early promyelocytes","CD14","ITGB1",0.0742167165340263,19452.3,0.00677795355008877,8647,0.667594430936825,16116,0.681261560514143,13992,0.907670743059535,32504,0,26002.5
"13400","Plasmacytoid dendritic cell progenitors","Non-classical monocytes","PTPN6","CLEC12A",0.0742311445350834,15936.7,0.00650408494461484,9171,1.1182546190163,6013,0.879254737416646,9171,0.915231815252827,29326,0,26002.5
"13401","Conventional dendritic cell 1","Early erythroid progenitor","CALM1","HMMR",0.074239552446633,28078.9,0.00233701794770289,27681,0.495390906476324,24412,0.291449985945378,32506,0.914165537008724,29793,0,26002.5
"13402","CD8+CD103+ tissue resident memory T cells","Conventional dendritic cell 1","FLT3LG","FLT3",0.0742462782312355,17888.3,0.0140171822582758,2788,1.18704028801941,5235,0.552754384521954,18607,0.897083128691468,36809,0,26002.5
"13403","Conventional dendritic cell 2","Plasmacytoid dendritic cells","S100A9","ITGB2",0.0742623939800416,27494.3,0.00191473131596434,32426,0.385662590479249,31931,0.291435012510614,32508,0.950540493315999,14604,0,26002.5
"13404","Erythro-myeloid progenitors","Non-classical monocytes","MDK","LRP1",0.0742762427923464,22004.1,0.0212870334085425,1421,1.00462215857647,7714,0.552714174673036,18609,0.84081984808818,56274,0,26002.5
"13405","CD8+ effector memory T cells","Pre-B cells","HLA-B","CANX",0.0742762427923464,21914.5,0.0011145758427877,47158,0.60488223280904,18609,0.793990056562864,10984,0.966259274942036,6819,0,26002.5
"13406","Megakaryocyte progenitors","Pro-B cells","CALM1","MYLK",0.0743423836257665,21138.1,0.00403053384269467,16448,0.996246953333642,7836,0.358264625811095,28353,0.920737269097598,27051,0,26002.5
"13407","Megakaryocyte progenitors","Pro-B cells","CALM2","MYLK",0.0743538163424468,14095.5,0.0056115084590547,11126,1.33545973761965,3948,0.874176296935347,9246,0.937137771846004,20155,0,26002.5
"13408","Lymphomyeloid prog","Myelocytes","HMGB1","TLR4",0.0743661881300285,14831.1,0.00748696119450117,7483,0.899827933643698,9525,0.732219175599954,12530,0.941163472997002,18615,0,26002.5
"13409","Early erythroid progenitor","Classical Monocytes","GNAI2","C5AR1",0.0743672434685131,15724.7,0.00837953002234851,6345,0.984139730071425,8027,0.878551407951798,9177,0.91586807998959,29072,0,26002.5
"13410","Megakaryocyte progenitors","Pro-B cells","CALM2","INSR",0.0743766859954303,22603.7,0.00231075251232721,27938,0.623736034499217,17822,0.667542788860146,14430,0.921329951512466,26826,0,26002.5
"13411","Megakaryocyte progenitors","Pro-B cells","CALM3","INSR",0.074388122931993,19896.3,0.0042460819215005,15535,0.792386997773491,12138,0.696036734323679,13540,0.908194306652675,32266,0,26002.5
"13412","Conventional dendritic cell 1","Plasmacytoid dendritic cells","LGALS1","ITGB1",0.0743961871320289,20324.7,0.00152418157239071,38490,0.786958594789734,12284,1.05990731637589,6230,0.941155954192192,18617,0,26002.5
"13413","Non-classical monocytes","Plasmacytoid dendritic cell progenitors","SELPLG","SELL",0.0744111898630849,15374.3,0.00608718362852307,10044,0.830229657012473,11142,0.790776070846137,11065,0.941154799307027,18618,0,26002.5
"13414","Immature B cells","CD8+ naive T cells","HLA-B","CD3D",0.0744111898630849,15459.1,0.00361898483546851,18536,0.60466668896155,18618,0.719535265895408,12869,0.978720913397789,1270,0,26002.5
"13415","CD8+CD103+ tissue resident memory T cells","NK exhausted","HMGB1","HAVCR2",0.0744412017861814,21957.3,0.00418466671118137,15798,0.772512446194299,12675,0.228881726674299,36691,0.941151591292046,18620,0,26002.5
"13416","Conventional dendritic cell 1","CD8+ effector memory T cells","COL9A2","CD44",0.0744416650939232,33970.7,0.00498880166695744,12884,0.333564304132773,35864,0.199102944080793,38769,0.840552545035745,56334,0,26002.5
"13417","Classical Monocytes","Immature B cells","ADAM17","RHBDF2",0.0744562109785712,24040.3,0.00571096596937059,10879,0.604618061759037,18621,0.704601163657637,13292,0.856828633530531,51407,0,26002.5
"13418","Pro-B cells","Early promyelocytes","HLA-A","APLP2",0.0744567741005405,23536.9,0.00190715025350484,32525,0.548086958222124,21377,0.305237854059635,31631,0.967568929262319,6149,0,26002.5
"13419","Plasmacytoid dendritic cells","CD8+ effector memory T cells","HLA-B","KLRD1",0.0744862358259069,13205.1,0.0036030318389353,18623,0.806051879284313,11773,1.0359880082388,6566,0.973957803275143,3061,0,26002.5
"13420","Megakaryocyte progenitors","Pro-B cells","MDK","NCL",0.0745025696978268,17991.9,0.0032450483895767,20712,0.925435879133022,9040,0.871926314983948,9283,0.925776087547136,24922,0,26002.5
"13421","CD8+ effector memory T cells","Classical Monocytes","SELPLG","ITGB2",0.074514022117287,27094.9,0.00192424475507491,32316,0.388962977429375,31694,0.71736244410656,12932,0.907611160496627,32530,0,26002.5
"13422","Pro-B cells","Mature naive B cells","FAM3C","CLEC2D",0.0745254759450626,22442.7,0.00417996319533168,15815,0.547796502794248,21389,0.607830277872441,16476,0.907607922402744,32531,0,26002.5
"13423","Early erythroid progenitor","Classical Monocytes","MIF","CD44_CD74",0.0745262194500481,15537.3,0.00173693840881686,34999,0.918242287104019,9184,1.05673585175828,6268,0.978827836564505,1233,0,26002.5
"13424","CD8+ naive T cells","CD8+ naive T cells","HLA-C","CD8A",0.0745598458795794,23285.3,0.00360919684109018,18589,0.378060177644915,32534,0.408009261307056,25465,0.952173856597532,13836,0,26002.5
"13425","Plasmacytoid dendritic cells","CD8+ effector memory T cells","HLA-C","CD8A",0.0745913906667574,15981.1,0.00607760882269723,10063,0.604397034377261,18630,0.607497572717872,16489,0.962735524046288,8721,0,26002.5
"13426","NK exhausted","CD8+ effector memory T cells","CD48","CD2",0.0745942284936095,22152.7,0.00346119648128183,19411,0.378047886924465,32537,0.618311417634556,16086,0.945882664991116,16727,0,26002.5
"13427","CD4+ memory T cells","Eosinophil-basophil-mast cell progenitors","LTB","TNFRSF1A",0.0746056921832288,24273.5,0.00209962030634563,30213,0.567900073670443,20368,0.742355139535521,12246,0.907586127982952,32538,0,26002.5
"13428","Non-classical monocytes","Others","ICAM2","ITGAL_ITGB2",0.0746064214082772,13917.5,0.00626575634885045,9660,0.901070322828792,9505,1.09209784303655,5789,0.941121181241553,18631,0,26002.5
"13429","Conventional dendritic cell 2","Small pre-B cell","CALM3","MYLK",0.0746286237906609,17906.3,0.00627131202317465,9655,1.46992255232964,2934,0.558042447526158,18400,0.907583869177551,32540,0,26002.5
"13430","Classical Monocytes","Pre-pro-B cells","GNAI2","S1PR4",0.0746400917087335,23974.1,0.00226885705392976,28374,0.552205105076853,21139,0.760673277781573,11814,0.907570905901344,32541,0,26002.5
"13431","Others","Class switched memory B cells","MIF","CD74_CXCR4",0.0746515265687753,20079.5,0.00125131893349985,43969,0.60426397915385,18634,0.835295919038971,10009,0.977080475665658,1783,0,26002.5
"13432","Megakaryocyte progenitors","Classical Monocytes","GNAI2","FPR1",0.074663031774242,16179.5,0.0103461437685254,4635,0.904929781065319,9422,0.926925005010611,8295,0.907567733369879,32543,0,26002.5
"13433","Myelocytes","CD4+ memory T cells","HLA-A","CD3D",0.074663031774242,22054.7,0.00292192450743499,22854,0.37799302010899,32543,0.401012567186702,25862,0.974062166024611,3012,0,26002.5
"13434","Pre-B cells","Classical Monocytes","LGALS9","LRP1",0.0746816074574695,19960.3,0.0148414307606208,2558,0.8711804354522,10155,0.60297666105803,16669,0.877164119237672,44417,0,26002.5
"13435","Megakaryocyte progenitors","Others","GNAI2","S1PR5",0.0746859774797676,16943.1,0.00669126570946453,8809,0.916869082180529,9207,0.933995744135374,8152,0.907565691555507,32545,0,26002.5
"13436","CD8+ effector memory T cells","NK resident","LGALS1","CD69",0.074697452447862,21074.9,0.00190612538518482,32546,0.446827786422824,27560,0.74035109490548,12301,0.966027567230528,6965,0,26002.5
"13437","Non-classical monocytes","Mature naive B cells","TNFSF13B","CD40",0.0747081620737987,16512.9,0.0121323757052128,3544,0.964257528367993,8382,0.877760795065192,9192,0.90047557336431,35444,0,26002.5
"13438","Lymphomyeloid prog","Classical Monocytes","HMGB1","CD163",0.0747267449665464,13242.5,0.0149126004584578,2536,1.05446826758863,6898,0.747100730074914,12137,0.941099136742624,18639,0,26002.5
"13439","Plasma cells","CD4+ memory T cells","FAM3C","CLEC2D",0.0747433664254825,20890.7,0.00417448002304581,15835,0.550715978952275,21236,0.898413252429872,8830,0.907552871602489,32550,0,26002.5
"13440","Megakaryocyte progenitors","Megakaryocyte progenitors","TGFB1","ITGB1",0.0747548484468486,20420.9,0.00364053934330062,18414,0.52927171278958,22430,0.772648867752256,11527,0.928430231199893,23731,0,26002.5
"13441","Conventional dendritic cell 1","CD8+ effector memory T cells","TGFB1","ITGB1",0.0747690708937108,29219.3,0.00195282458092826,31950,0.380770418077066,32317,0.470865820476148,22149,0.904770794273385,33678,0,26002.5
"13442","CD4+ memory T cells","NK resident","GNAI2","S1PR5",0.0747869585145832,24323.1,0.00359946105318553,18643,0.66122726468385,16352,0.606932397156017,16513,0.87806775896892,44105,0,26002.5
"13443","Plasmacytoid dendritic cell progenitors","Plasma cells","TNFSF13B","TNFRSF13B",0.0747992357388082,19465.5,0.00844468292988069,6279,1.31768704166391,4104,0.877546500262294,9196,0.855745195238135,51746,0,26002.5
"13444","Non-classical monocytes","Plasmacytoid dendritic cells","TNFSF13B","HLA-DPB1",0.0748220148195551,12815.5,0.00347572204784387,19328,1.12504501327787,5925,1.28703538255876,3625,0.961807083067793,9197,0,26002.5
"13445","Conventional dendritic cell 2","CD8+ naive T cells","IL1B","SIGIRR",0.0748467554263019,18604.9,0.0054933146701436,11419,0.788026747027806,12268,0.80167665171424,10776,0.90753689997381,32559,0,26002.5
"13446","NK exhausted","GammaDelta T cells","LGALS1","CD69",0.0748467554263019,20753.1,0.00190528820291205,32559,0.444840436365575,27683,0.810829143676419,10550,0.96602035790598,6971,0,26002.5
"13447","CD69+PD-1+ memory CD4+ T cells","CD8+CD103+ tissue resident memory T cells","HLA-F","CD8B",0.0748582501517504,23512.1,0.00639909084414552,9394,0.377760961256719,32560,0.583410666220762,17386,0.908294318137422,32218,0,26002.5
"13448","Immature B cells","Others","HLA-C","KIR2DL3",0.0748924153121746,16244.7,0.00904162148292765,5674,0.775803233202295,12575,0.551630503283971,18650,0.941898204465687,18322,0,26002.5
"13449","NK exhausted","CD69+PD-1+ memory CD4+ T cells","LGALS1","PTPRC",0.0748927428019073,19054.1,0.00190506308656121,32563,0.500698121893271,24078,1.05426217001419,6301,0.967242452834047,6326,0,26002.5
"13450","Megakaryocyte progenitors","Megakaryocyte progenitors","CLEC11A","ITGB1",0.0749272481655144,20746.1,0.00334882528001127,20095,0.64168622060662,17108,0.800594622780184,10798,0.914307723574271,29727,0,26002.5
"13451","NK exhausted","Myelocytes","ICAM2","ITGAM_ITGB2",0.0749272481655144,23768.9,0.00257032591720158,25553,0.525292088507291,22661,0.750708901205111,12062,0.907506087005719,32566,0,26002.5
"13452","Plasmacytoid dendritic cell progenitors","Others","LGALS1","PTPRC",0.0749290955967549,12944.5,0.00306752764538197,21852,0.836664666201348,10982,1.38406073609561,2844,0.974004543617005,3042,0,26002.5
"13453","Plasmacytoid dendritic cell progenitors","Myelocytes","HMGB1","TLR2",0.0749587789050332,14098.5,0.00723126939172913,7855,0.917169577175423,9203,0.935028407855154,8136,0.939403815665928,19296,0,26002.5
"13454","Erythro-myeloid progenitors","Pre-pro-B cells","MDK","ITGA4_ITGB1",0.0749678063684157,21173.5,0.00446900540214395,14656,0.859552351533762,10400,0.551558669706776,18655,0.898713744874611,36154,0,26002.5
"13455","Early erythroid progenitor","Non-classical monocytes","CD99","PILRA",0.0749828910591589,12766.5,0.00878208903545519,5930,1.76509934116835,1457,0.762064151306149,11787,0.941075198459131,18656,0,26002.5
"13456","Non-classical monocytes","Myelocytes","HLA-C","LILRB2",0.0749828910591589,18272.1,0.00359637790998943,18656,0.647884294971868,16854,0.698750082094449,13462,0.946685326255879,16386,0,26002.5
"13457","NK exhausted","Conventional dendritic cell 1","MIF","CD44_CD74",0.0749828910591589,20354.7,0.0013311533158396,42265,0.603712806829167,18656,0.728741043556637,12624,0.975887791986274,2226,0,26002.5
"13458","Conventional dendritic cell 2","CD8+ naive T cells","PKM","CD44",0.0749962970471363,23353.9,0.00190461170766314,32572,0.480288691086562,25358,0.522165801972159,19827,0.954002589892851,13010,0,26002.5
"13459","Others","CD69+PD-1+ memory CD4+ T cells","HMGB1","CXCR4",0.0749979779101411,20353.3,0.00134260881522645,42000,0.603691503131911,18657,0.69835468875831,13472,0.977544625059564,1635,0,26002.5
"13460","Eosinophil-basophil-mast cell progenitors","Non-classical monocytes","HMGB1","TLR4",0.075013066921537,14657.5,0.00746051892151489,7524,0.885834481236856,9798,0.781594510762905,11305,0.941065437738327,18658,0,26002.5
"13461","Lymphomyeloid prog","Non-classical monocytes","TNFSF13B","HLA-DPB1",0.0750272185596532,13415.7,0.00347269841374395,19344,1.05102890873031,6955,1.10822230399083,5571,0.961791094806127,9206,0,26002.5
"13462","Class switched memory B cells","CD8+ effector memory T cells","B2M","KLRD1",0.0750432514262686,12590.5,0.0035960080427878,18660,0.846748176255492,10701,1.02731547783579,6715,0.980135860592751,874,0,26002.5
"13463","HSCs & MPPs","Classical Monocytes","GNAI2","FPR1",0.0750538766595003,17056.9,0.0103266793965538,4655,0.90438363946617,9438,0.729204374936989,12612,0.907488718279429,32577,0,26002.5
