"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"16408","Plasmacytoid dendritic cell progenitors","CD4+ naive T cells","CD59","CD2",0.0615435373833542,25579.8,0.00325905713965991,26378,0.584476639933996,26781,0.626348698949677,21452,0.937575085294684,24341,0,28947
"16409","CD56brightCD16- NK cells","Megakaryocyte progenitors","LTB","TNFRSF1A",0.0615747010343257,34821,0.00229525125993368,35486,0.48620532768985,32539,0.303454594818692,39509,0.915103560331496,37624,0,28947
"16410","CD8+ central memory T cells","Megakaryocyte progenitors","ITGB2","THY1",0.0615980820561434,17858,0.0126399285656688,4343,1.46939877491897,4314,0.900298801084167,12174,0.911938826771265,39512,0,28947
"16411","Plasmacytoid dendritic cells","CD8+ central memory T cells","CD99","CD81",0.0615980820561434,25290.4,0.00199085641950845,39512,0.730276624627171,20074,0.902427777399627,12121,0.935126479222579,25798,0,28947
"16412","NK cell progenitors","Megakaryocyte progenitors","SELPLG","ESAM",0.0616007018006758,28245.5,0.0110258388896486,5401,1.98450282319232,1555,0.953200803014686,10828,0.862922689260783,65106,0.001,58337.5
"16413","Conventional dendritic cell 1","Megakaryocyte progenitors","HSP90B1","LRP1",0.0616058773082286,25895.6,0.00557822161560602,14363,0.586332538912601,26687,0.303372858688108,39513,0.944939788767182,19968,0,28947
"16414","Myelocytes","Mature naive B cells","TIMP2","CD44",0.0616058773082286,33684.4,0.00272082837345753,30948,0.386209490789328,39513,0.449518074847495,30056,0.912845709525233,38958,0,28947
"16415","Non-classical monocytes","Pre-pro-B cells","TGFB1","CXCR4",0.0616136733494866,28647,0.00199080789888517,39514,0.496236505264243,31898,0.517404913514752,26405,0.95103526473819,16471,0,28947
"16416","Megakaryocyte progenitors","CD8+ naive T cells","F13A1","ITGA4",0.0616167161666934,16880.2,0.00687492475660493,10829,1.94853849401491,1687,1.24022867324346,5526,0.915469746038006,37412,0,28947
"16417","Early erythroid progenitor","Myelocytes","ICAM4","ITGB2",0.0616214701799774,20607.6,0.00855250453943775,7936,0.880811152810266,14777,0.912121819404609,11863,0.911931166960403,39515,0,28947
"16418","Megakaryocyte progenitors","Conventional dendritic cell 1","BGN","LY96",0.0616218650623288,23604,0.0194806585869365,2044,1.58143166699914,3467,0.51485742153971,26537,0.880022097004992,57025,0,28947
"16419","CD8+ central memory T cells","Non-classical monocytes","LTB","TNFRSF1A",0.0616604661730203,34385.4,0.00239545172249608,34309,0.486968222715744,32487,0.30319349080512,39520,0.916748714542452,36664,0,28947
"16420","CD8+ effector memory T cells","Lymphomyeloid prog","CCL5","CCR1",0.0616647747347603,15027.6,0.00687318409172241,10832,1.52945135115829,3831,1.75563756239222,1518,0.927900283144074,30010,0,28947
"16421","Erythro-myeloid progenitors","CD56dimCD16+ NK cells","GNAS","ADRB2",0.0616682677401662,30304.4,0.00380311881909682,22627,0.456525077198535,34546,0.528714588923513,25881,0.911917053618869,39521,0,28947
